Summer[differentiated_days],Autumn[differentiated_days],Winter[differentiated_days],Spring[differentiated_days],Summer[semi-differentiated_days],Autumn[semi-differentiated_days],Winter[semi-differentiated_days],Spring[semi-differentiated_days],Summer[undifferentiated_days],Autumn[undifferentiated_days],Winter[undifferentiated_days],Spring[undifferentiated_days]
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,2.1666666666666665,0,0.0,0.0,1.875,0,0.0,0.0,0.0
0,0.0,0.0,2.1666666666666665,0,0.0,0.0,1.875,0,0.0,0.0,0.0
0,0.0,0.0,2.1666666666666665,0,0.0,0.0,1.875,0,0.0,0.0,0.0
0,0.0,0.0,4.440892098500626e-16,0,0.0,0.0,1.875,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.125
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.125
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.125
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.625
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,2.0,0.0,0,0.0,2.0,0.0
0,0.0,0.0,0.0,0,0.0,2.0,0.0,0,0.0,2.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
